id,Zconservrepub,scicomp_i,GWRISK,NUKERISK
763,1.0255814,-0.1546,2,7
764,0.51337514,-0.5553,6,6
765,0.04450736,1.2596,1,2
766,1.4944492,0.8169,2,2
767,0.04450736,0.8685,3,2
768,1.0255814,0.6823,1,5
769,0.2139335,-0.4741,1,7
770,1.2816846,-0.6085,3,5
771,0.04450736,-0.2673,1,2
772,0.3006105,-1.7071,6,7
773,1.2816846,0.4001,1,3
774,0.04450736,-0.2045,4,5
775,1.7505523,1.0959,2,1
776,0.2139335,-0.2293,7,7
777,1.7505523,-0.2686,1,3
778,1.2816846,-0.7381,1,2
779,0.51337514,-0.6795,3,3
780,0.04450736,-0.168,4,6
781,0.76947828,-0.7976,0,3
782,0.51337514,-0.9566,4,6
783,0.04450736,-0.2941,0,1
784,0.04450736,1.1458,3,4
785,0.81281678,0.7579,4,4
786,1.2816846,-0.2599,0,2
787,1.7505523,-0.9691,0,6
788,1.7505523,-0.1125,0,2
789,0.343949,-0.7236,1,3
790,1.0255814,0.0171,0,1
791,0.98224292,0.347,3,5
792,0.04450736,0.9722,5,2
793,0.2139335,0.2829,4,6
794,1.2816846,-0.0469,3,3
795,1.7505523,0.0161,0,6
796,0.76947828,2.3422,0,0
797,0.98224292,-0.2759,2,2
798,1.2816846,1.3524,1,2
799,0.04450736,0.4302,7,6
